iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2020-02-24,5.0,5.0,,,,,126,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-02-25,5.0,0.0,,,,,126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-02-26,5.0,0.0,,,,,126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-02-27,5.0,0.0,,,,,126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-02-28,5.0,0.0,,,,,126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-02-29,5.0,0.0,714,,,,126,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-03-01,5.0,0.0,714,,,,126,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-03-02,5.0,0.0,0.0,,,,126,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-03-03,5.0,0.0,0.0,,,,126,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
AFG,Asia,Afghanistan,2020-03-04,5.0,0.0,0.0,,,,126,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39835428.0,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
